Common Name,Scientific Name,Element Code,Species Group (Broad),Species Group (Fine),NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,COSEWIC Status,SARA Status,Distribution,View on NatureServe Explorer
Banff Springs Snail,Physella johnsoni,IMGASM0180,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,Endangered,Endangered/En voie de disparition,Canada: AB (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114632/Physella_johnsoni
Snake River Physa,Physella natricina,IMGASL9040,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,United States: ID (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107250/Physella_natricina
Cave Physa,Physella spelunca,IMGASM0250,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: WY (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110561/Physella_spelunca
Hotwater Physa,Physella wrighti,IMGASM0330,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,Endangered,Endangered/En voie de disparition,Canada: BC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116672/Physella_wrighti
Wet-rock Physa,Physella zionis,IMGASM0320,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: MT (SNR), UT (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108812/Physella_zionis
Magnificent Ramshorn,Planorbella magnifica,IMGASN0090,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Candidate,,,United States: NC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114388/Planorbella_magnifica
Lamb Ramshorn,Planorbella oregonensis,IMGASN0120,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: OR (S1), UT (SH)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114852/Planorbella_oregonensis
Corpulent Hornsnail,Pleurocera corpulenta,IMGASK7060,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: AL (S1), TN (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111362/Pleurocera_corpulenta
Rough Hornsnail,Pleurocera foremani,IMGASK7080,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,"United States: AL (S1), GA (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106724/Pleurocera_foremani
Bottle Hornsnail,Pleurocera gradata,IMGASK7090,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,"United States: TN (S2), VA (SU)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116512/Pleurocera_gradata
Robust Walker,Pomatiopsis binneyi,IMGASJ9010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: CA (S1), OR (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114384/Pomatiopsis_binneyi
Pacific Walker,Pomatiopsis californica,IMGASJ9020,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: CA (S1), OR (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112005/Pomatiopsis_californica
Marsh Walker,Pomatiopsis chacei,IMGASJ9030,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: CA (S1), OR (SH)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111189/Pomatiopsis_chacei
Diamond Tryonia,Pseudotryonia adamantina,IMGASJ7100,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107375/Pseudotryonia_adamantina
Caliente Tryonia,Pseudotryonia alamosae,IMGASJ7140,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,United States: NM (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112547/Pseudotryonia_alamosae
Regal Hydrobe,Pseudotryonia brevissima,IMGASJ7220,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112653/Pseudotryonia_brevissima
Salt Spring Hydrobe,Pseudotryonia grahamae,IMGASJ7240,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.721238/Pseudotryonia_grahamae
Benton Valley Springsnail,Pyrgulopsis aardahli,IMGASJ0270,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114768/Pyrgulopsis_aardahli
Duckwater Pyrg,Pyrgulopsis aloba,IMGASJ0C40,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114709/Pyrgulopsis_aloba
Amargosa Springsnail,Pyrgulopsis amargosae,IMGASJ0340,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109637/Pyrgulopsis_amargosae
Southern Duckwater Pyrg,Pyrgulopsis anatina,IMGASJ0C60,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111951/Pyrgulopsis_anatina
Longitudinal Gland Pyrg,Pyrgulopsis anguina,IMGASJ0670,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: NV (S1), UT (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109131/Pyrgulopsis_anguina
Archimedes Pyrg,Pyrgulopsis archimedis,IMGASJ0010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2,G1,,,,"United States: CA (S1), OR (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120825/Pyrgulopsis_archimedis
